group,item,target,distractor,image,condition,SOA
A,1,table,table,table_ID.png,ID,0
A,2,church,castle,church_REL.png,REL,0
A,3,sweater,sweater,sweater_NEU.png,NEU,0
A,4,plate,cannon,plate_UNREL.png,UNREL,0
A,5,castle,church,castle_REL.png,REL,0
A,6,pistol,pistol,pistol_NEU.png,NEU,0
A,7,wardrobe,wardrobe,wardrobe_ID.png,ID,0
A,8,arm,train,arm_UNREL.png,UNREL,0
A,9,cannon,cannon,cannon_ID.png,ID,0
A,10,tortoise,swan,tortoise_REL.png,REL,0
A,11,leg,leg,leg_NEU.png,NEU,0
A,12,deer,desk,deer_UNREL.png,UNREL,0
A,13,skirt,sweater,skirt_REL.png,REL,0
A,14,factory,factory,factory_NEU.png,NEU,0
A,15,coat,coat,coat_ID.png,ID,0
A,16,rabbit,church,rabbit_UNREL.png,UNREL,0
A,17,bike,bike,bike_ID.png,ID,0
A,18,bed,desk,bed_REL.png,REL,0
A,19,table,table,table_NEU.png,NEU,0
A,20,train,arm,train_UNREL.png,UNREL,0
A,21,windmill,factory,windmill_REL.png,REL,0
A,22,jug,jug,jug_NEU.png,NEU,0
A,23,plate,plate,plate_ID.png,ID,0
A,24,swan,skirt,swan_UNREL.png,UNREL,0
A,25,bed,bed,bed_ID.png,ID,0
A,26,plane,car,plane_REL.png,REL,0
A,27,vest,vest,vest_NEU.png,NEU,0
A,28,plane,glass,plane_UNREL.png,UNREL,0
A,29,leg,ear,leg_REL.png,REL,0
A,30,desk,desk,desk_NEU.png,NEU,0
A,31,arm,arm,arm_ID.png,ID,0
A,32,dagger,sweater,dagger_UNREL.png,UNREL,0
A,33,desk,desk,desk_ID.png,ID,0
A,34,train,bike,train_REL.png,REL,0
A,35,cup,cup,cup_NEU.png,NEU,0
A,36,skirt,swan,skirt_UNREL.png,UNREL,0
A,37,car,plane,car_REL.png,REL,0
A,38,train,train,train_NEU.png,NEU,0
A,39,skirt,skirt,skirt_ID.png,ID,0
A,40,sweater,dagger,sweater_UNREL.png,UNREL,0
A,41,glass,glass,glass_ID.png,ID,0
A,42,desk,bed,desk_REL.png,REL,0
A,43,car,car,car_NEU.png,NEU,0
A,44,tortoise,cup,tortoise_UNREL.png,UNREL,0
A,45,wardrobe,table,wardrobe_REL.png,REL,0
A,46,plane,plane,plane_NEU.png,NEU,0
A,47,church,church,church_ID.png,ID,0
A,48,vest,ear,vest_UNREL.png,UNREL,0
A,49,swan,swan,swan_ID.png,ID,0
A,50,bike,train,bike_REL.png,REL,0
A,51,castle,castle,castle_NEU.png,NEU,0
A,52,pistol,bed,pistol_UNREL.png,UNREL,0
A,53,swan,tortoise,swan_REL.png,REL,0
A,54,church,church,church_NEU.png,NEU,0
A,55,ear,ear,ear_ID.png,ID,0
A,56,table,sword,table_UNREL.png,UNREL,0
A,57,leg,leg,leg_ID.png,ID,0
A,58,coat,vest,coat_REL.png,REL,0
A,59,arm,arm,arm_NEU.png,NEU,0
A,60,sword,table,sword_UNREL.png,UNREL,0
A,61,sweater,skirt,sweater_REL.png,REL,0
A,62,plate,plate,plate_NEU.png,NEU,0
A,63,plane,plane,plane_ID.png,ID,0
A,64,car,leg,car_UNREL.png,UNREL,0
A,65,castle,castle,castle_ID.png,ID,0
A,66,nose,arm,nose_REL.png,REL,0
A,67,glass,glass,glass_NEU.png,NEU,0
A,68,jug,windmill,jug_UNREL.png,UNREL,0
A,69,rabbit,deer,rabbit_REL.png,REL,0
A,70,wardrobe,wardrobe,wardrobe_NEU.png,NEU,0
A,71,jug,jug,jug_ID.png,ID,0
A,72,bike,wardrobe,bike_UNREL.png,UNREL,0
A,73,cup,cup,cup_ID.png,ID,0
A,74,factory,windmill,factory_REL.png,REL,0
A,75,bike,bike,bike_NEU.png,NEU,0
A,76,nose,factory,nose_UNREL.png,UNREL,0
A,77,vest,coat,vest_REL.png,REL,0
A,78,nose,nose,nose_NEU.png,NEU,0
A,79,train,train,train_ID.png,ID,0
A,80,windmill,jug,windmill_UNREL.png,UNREL,0
A,81,pistol,pistol,pistol_ID.png,ID,0
A,82,sword,dagger,sword_REL.png,REL,0
A,83,dagger,dagger,dagger_NEU.png,NEU,0
