group,item,target,distractor,image,condition,SOA
A,1,table,table,tableID_negSOA.gif,ID,-150
A,2,church,castle,churchREL_negSOA.gif,REL,-150
A,3,sweater,sweater,sweaterNEU_negSOA.gif,NEU,-150
A,4,plate,cannon,plateUNREL_negSOA.gif,UNREL,-150
A,5,castle,church,castleREL_negSOA.gif,REL,-150
A,6,pistol,pistol,pistolNEU_negSOA.gif,NEU,-150
A,7,wardrobe,wardrobe,wardrobeID_negSOA.gif,ID,-150
A,8,arm,train,armUNREL_negSOA.gif,UNREL,-150
A,9,cannon,cannon,cannonID_negSOA.gif,ID,-150
A,10,tortoise,swan,tortoiseREL_negSOA.gif,REL,-150
A,11,leg,leg,legNEU_negSOA.gif,NEU,-150
A,12,deer,desk,deerUNREL_negSOA.gif,UNREL,-150
A,13,skirt,sweater,skirtREL_negSOA.gif,REL,-150
A,14,factory,factory,factoryNEU_negSOA.gif,NEU,-150
A,15,coat,coat,coatID_negSOA.gif,ID,-150
A,16,rabbit,church,rabbitUNREL_negSOA.gif,UNREL,-150
A,17,bike,bike,bikeID_negSOA.gif,ID,-150
A,18,bed,desk,bedREL_negSOA.gif,REL,-150
A,19,table,table,tableNEU_negSOA.gif,NEU,-150
A,20,train,arm,trainUNREL_negSOA.gif,UNREL,-150
A,21,windmill,factory,windmillREL_negSOA.gif,REL,-150
A,22,jug,jug,jugNEU_negSOA.gif,NEU,-150
A,23,plate,plate,plateID_negSOA.gif,ID,-150
A,24,swan,skirt,swanUNREL_negSOA.gif,UNREL,-150
A,25,bed,bed,bedID_negSOA.gif,ID,-150
A,26,plane,car,planeREL_negSOA.gif,REL,-150
A,27,vest,vest,vestNEU_negSOA.gif,NEU,-150
A,28,plane,glass,planeUNREL_negSOA.gif,UNREL,-150
A,29,leg,ear,legREL_negSOA.gif,REL,-150
A,30,desk,desk,deskNEU_negSOA.gif,NEU,-150
A,31,arm,arm,armID_negSOA.gif,ID,-150
A,32,dagger,sweater,daggerUNREL_negSOA.gif,UNREL,-150
A,33,desk,desk,deskID_negSOA.gif,ID,-150
A,34,train,bike,trainREL_negSOA.gif,REL,-150
A,35,cup,cup,cupNEU_negSOA.gif,NEU,-150
A,36,skirt,swan,skirtUNREL_negSOA.gif,UNREL,-150
A,37,car,plane,carREL_negSOA.gif,REL,-150
A,38,train,train,trainNEU_negSOA.gif,NEU,-150
A,39,skirt,skirt,skirtID_negSOA.gif,ID,-150
A,40,sweater,dagger,sweaterUNREL_negSOA.gif,UNREL,-150
A,41,glass,glass,glassID_negSOA.gif,ID,-150
A,42,desk,bed,deskREL_negSOA.gif,REL,-150
A,43,car,car,carNEU_negSOA.gif,NEU,-150
A,44,tortoise,cup,tortoiseUNREL_negSOA.gif,UNREL,-150
