group,item,target,distractor,image,condition,SOA
A,1,table,table,tableID_posSOA.gif,ID,150
A,2,church,castle,churchREL_posSOA.gif,REL,150
A,3,sweater,sweater,sweaterNEU_posSOA.gif,NEU,150
A,4,plate,cannon,plateUNREL_posSOA.gif,UNREL,150
A,5,castle,church,castleREL_posSOA.gif,REL,150
A,6,pistol,pistol,pistolNEU_posSOA.gif,NEU,150
A,7,wardrobe,wardrobe,wardrobeID_posSOA.gif,ID,150
A,8,arm,train,armUNREL_posSOA.gif,UNREL,150
A,9,cannon,cannon,cannonID_posSOA.gif,ID,150
A,10,tortoise,swan,tortoiseREL_posSOA.gif,REL,150
A,11,leg,leg,legNEU_posSOA.gif,NEU,150
A,12,deer,desk,deerUNREL_posSOA.gif,UNREL,150
A,13,skirt,sweater,skirtREL_posSOA.gif,REL,150
A,14,factory,factory,factoryNEU_posSOA.gif,NEU,150
A,15,coat,coat,coatID_posSOA.gif,ID,150
A,16,rabbit,church,rabbitUNREL_posSOA.gif,UNREL,150
A,17,bike,bike,bikeID_posSOA.gif,ID,150
A,18,bed,desk,bedREL_posSOA.gif,REL,150
A,19,table,table,tableNEU_posSOA.gif,NEU,150
A,20,train,arm,trainUNREL_posSOA.gif,UNREL,150
A,21,windmill,factory,windmillREL_posSOA.gif,REL,150
A,22,jug,jug,jugNEU_posSOA.gif,NEU,150
A,23,plate,plate,plateID_posSOA.gif,ID,150
A,24,swan,skirt,swanUNREL_posSOA.gif,UNREL,150
A,25,bed,bed,bedID_posSOA.gif,ID,150
A,26,plane,car,planeREL_posSOA.gif,REL,150
A,27,vest,vest,vestNEU_posSOA.gif,NEU,150
A,28,plane,glass,planeUNREL_posSOA.gif,UNREL,150
A,29,leg,ear,legREL_posSOA.gif,REL,150
A,30,desk,desk,deskNEU_posSOA.gif,NEU,150
A,31,arm,arm,armID_posSOA.gif,ID,150
A,32,dagger,sweater,daggerUNREL_posSOA.gif,UNREL,150
A,33,desk,desk,deskID_posSOA.gif,ID,150
A,34,train,bike,trainREL_posSOA.gif,REL,150
A,35,cup,cup,cupNEU_posSOA.gif,NEU,150
A,36,skirt,swan,skirtUNREL_posSOA.gif,UNREL,150
A,37,car,plane,carREL_posSOA.gif,REL,150
A,38,train,train,trainNEU_posSOA.gif,NEU,150
A,39,skirt,skirt,skirtID_posSOA.gif,ID,150
A,40,sweater,dagger,sweaterUNREL_posSOA.gif,UNREL,150
A,41,glass,glass,glassID_posSOA.gif,ID,150
A,42,desk,bed,deskREL_posSOA.gif,REL,150
A,43,car,car,carNEU_posSOA.gif,NEU,150
A,44,tortoise,cup,tortoiseUNREL_posSOA.gif,UNREL,150
A,45,wardrobe,table,wardrobeREL_posSOA.gif,REL,150
A,46,plane,plane,planeNEU_posSOA.gif,NEU,150
A,47,church,church,churchID_posSOA.gif,ID,150
A,48,vest,ear,vestUNREL_posSOA.gif,UNREL,150
A,49,swan,swan,swanID_posSOA.gif,ID,150
A,50,bike,train,bikeREL_posSOA.gif,REL,150
A,51,castle,castle,castleNEU_posSOA.gif,NEU,150
A,52,pistol,bed,pistolUNREL_posSOA.gif,UNREL,150
A,53,swan,tortoise,swanREL_posSOA.gif,REL,150
A,54,church,church,churchNEU_posSOA.gif,NEU,150
A,55,ear,ear,earID_posSOA.gif,ID,150
A,56,table,sword,tableUNREL_posSOA.gif,UNREL,150
A,57,leg,leg,legID_posSOA.gif,ID,150
A,58,coat,vest,coatREL_posSOA.gif,REL,150
A,59,arm,arm,armNEU_posSOA.gif,NEU,150
A,60,sword,table,swordUNREL_posSOA.gif,UNREL,150
A,61,sweater,skirt,sweaterREL_posSOA.gif,REL,150
A,62,plate,plate,plateNEU_posSOA.gif,NEU,150
A,63,plane,plane,planeID_posSOA.gif,ID,150
A,64,car,leg,carUNREL_posSOA.gif,UNREL,150
A,65,castle,castle,castleID_posSOA.gif,ID,150
A,66,nose,arm,noseREL_posSOA.gif,REL,150
A,67,glass,glass,glassNEU_posSOA.gif,NEU,150
A,68,jug,windmill,jugUNREL_posSOA.gif,UNREL,150
A,69,rabbit,deer,rabbitREL_posSOA.gif,REL,150
A,70,wardrobe,wardrobe,wardrobeNEU_posSOA.gif,NEU,150
A,71,jug,jug,jugID_posSOA.gif,ID,150
A,72,bike,wardrobe,bikeUNREL_posSOA.gif,UNREL,150
A,73,cup,cup,cupID_posSOA.gif,ID,150
A,74,factory,windmill,factoryREL_posSOA.gif,REL,150
A,75,bike,bike,bikeNEU_posSOA.gif,NEU,150
A,76,nose,factory,noseUNREL_posSOA.gif,UNREL,150
A,77,vest,coat,vestREL_posSOA.gif,REL,150
A,78,nose,nose,noseNEU_posSOA.gif,NEU,150
A,79,train,train,trainID_posSOA.gif,ID,150
A,80,windmill,jug,windmillUNREL_posSOA.gif,UNREL,150
A,81,pistol,pistol,pistolID_posSOA.gif,ID,150
A,82,sword,dagger,swordREL_posSOA.gif,REL,150
A,83,dagger,dagger,daggerNEU_posSOA.gif,NEU,150
A,84,church,rabbit,churchUNREL_posSOA.gif,UNREL,150
A,85,glass,plate,glassREL_posSOA.gif,REL,150
A,86,tortoise,tortoise,tortoiseNEU_posSOA.gif,NEU,150
A,87,windmill,windmill,windmillID_posSOA.gif,ID,150
A,88,castle,coat,castleUNREL_posSOA.gif,UNREL,150
A,89,sweater,sweater,sweaterID_posSOA.gif,ID,150
A,90,deer,rabbit,deerREL_posSOA.gif,REL,150
A,91,cannon,cannon,cannonNEU_posSOA.gif,NEU,150
A,92,factory,nose,factoryUNREL_posSOA.gif,UNREL,150
A,93,cannon,pistol,cannonREL_posSOA.gif,REL,150
A,94,coat,coat,coatNEU_posSOA.gif,NEU,150
A,95,nose,nose,noseID_posSOA.gif,ID,150
A,96,cup,tortoise,cupUNREL_posSOA.gif,UNREL,150
A,97,vest,vest,vestID_posSOA.gif,ID,150
A,98,plate,glass,plateREL_posSOA.gif,REL,150
A,99,rabbit,rabbit,rabbitNEU_posSOA.gif,NEU,150
A,100,desk,deer,deskUNREL_posSOA.gif,UNREL,150
A,101,dagger,sword,daggerREL_posSOA.gif,REL,150
A,102,ear,ear,earNEU_posSOA.gif,NEU,150
A,103,tortoise,tortoise,tortoiseID_posSOA.gif,ID,150
A,104,cannon,plate,cannonUNREL_posSOA.gif,UNREL,150
A,105,dagger,dagger,daggerID_posSOA.gif,ID,150
A,106,jug,cup,jugREL_posSOA.gif,REL,150
A,107,skirt,skirt,skirtNEU_posSOA.gif,NEU,150
A,108,coat,castle,coatUNREL_posSOA.gif,UNREL,150
A,109,cup,jug,cupREL_posSOA.gif,REL,150
A,110,windmill,windmill,windmillNEU_posSOA.gif,NEU,150
A,119,car,car,carID_posSOA.gif,ID,150
A,112,glass,plane,glassUNREL_posSOA.gif,UNREL,150
A,113,rabbit,rabbit,rabbitID_posSOA.gif,ID,150
A,114,pistol,cannon,pistolREL_posSOA.gif,REL,150
A,115,swan,swan,swanNEU_posSOA.gif,NEU,150
A,116,wardrobe,bike,wardrobeUNREL_posSOA.gif,UNREL,150
A,117,arm,nose,armREL_posSOA.gif,REL,150
A,118,deer,deer,deerNEU_posSOA.gif,NEU,150
A,111,sword,sword,swordID_posSOA.gif,ID,150
A,120,leg,car,legUNREL_posSOA.gif,UNREL,150
A,121,factory,factory,factoryID_posSOA.gif,ID,150
A,122,ear,leg,earREL_posSOA.gif,REL,150
A,123,bed,bed,bedNEU_posSOA.gif,NEU,150
A,124,ear,vest,earUNREL_posSOA.gif,UNREL,150
A,125,table,wardrobe,tableREL_posSOA.gif,REL,150
A,126,sword,sword,swordNEU_posSOA.gif,NEU,150
A,127,deer,deer,deerID_posSOA.gif,ID,150
A,128,bed,pistol,bedUNREL_posSOA.gif,UNREL,150
