group,item,target,distractor,image,condition,SOA
A,119,car,car,image/carID_posSOA.mp4,ID,150
A,68,jug,windmill,image/jugUNREL_negSOA.mp4,UNREL,-150
A,91,cannon,cannon,image/cannonNEU_negSOA.mp4,NEU,-150
A,72,bike,wardrobe,image/bikeUNREL_posSOA.mp4,UNREL,150
A,28,plane,glass,image/planeUNREL_posSOA.mp4,UNREL,150
A,22,jug,jug,image/jug_NEU.mp4,NEU,0
A,128,bed,pistol,image/bedUNREL_negSOA.mp4,UNREL,-150
A,12,deer,desk,image/deer_UNREL.mp4,UNREL,0
A,28,plane,glass,image/plane_UNREL.mp4,UNREL,0
A,35,cup,cup,image/cupNEU_posSOA.mp4,NEU,150
A,55,ear,ear,image/ear_ID.mp4,ID,0
A,48,vest,ear,image/vestUNREL_negSOA.mp4,UNREL,-150
A,44,tortoise,cup,image/tortoiseUNREL_negSOA.mp4,UNREL,-150
A,62,plate,plate,image/plateNEU_negSOA.mp4,NEU,-150
A,18,bed,desk,image/bed_REL.mp4,REL,0
A,106,jug,cup,image/jugREL_negSOA.mp4,REL,-150
A,80,windmill,jug,image/windmillUNREL_negSOA.mp4,UNREL,-150
A,27,vest,vest,image/vestNEU_posSOA.mp4,NEU,150
A,17,bike,bike,image/bike_ID.mp4,ID,0
A,65,castle,castle,image/castle_ID.mp4,ID,0
A,99,rabbit,rabbit,image/rabbit_NEU.mp4,NEU,0
A,90,deer,rabbit,image/deerREL_posSOA.mp4,REL,150
A,67,glass,glass,image/glass_NEU.mp4,NEU,0
A,128,bed,pistol,image/bedUNREL_posSOA.mp4,UNREL,150
A,70,wardrobe,wardrobe,image/wardrobe_NEU.mp4,NEU,0
A,97,vest,vest,image/vestID_posSOA.mp4,ID,150
A,85,glass,plate,image/glassREL_negSOA.mp4,REL,-150
A,86,tortoise,tortoise,image/tortoiseNEU_posSOA.mp4,NEU,150
A,8,arm,train,image/arm_UNREL.mp4,UNREL,0
A,109,cup,jug,image/cupREL_posSOA.mp4,REL,150
A,118,deer,deer,image/deerNEU_posSOA.mp4,NEU,150
A,96,cup,tortoise,image/cupUNREL_negSOA.mp4,UNREL,-150
A,99,rabbit,rabbit,image/rabbitNEU_negSOA.mp4,NEU,-150
A,49,swan,swan,image/swanID_posSOA.mp4,ID,150
A,57,leg,leg,image/leg_ID.mp4,ID,0
A,92,factory,nose,image/factoryUNREL_posSOA.mp4,UNREL,150
A,107,skirt,skirt,image/skirtNEU_posSOA.mp4,NEU,150
A,98,plate,glass,image/plate_REL.mp4,REL,0
A,32,dagger,sweater,image/daggerUNREL_posSOA.mp4,UNREL,150
A,91,cannon,cannon,image/cannon_NEU.mp4,NEU,0
A,77,vest,coat,image/vestREL_posSOA.mp4,REL,150
A,31,arm,arm,image/armID_posSOA.mp4,ID,150
A,67,glass,glass,image/glassNEU_posSOA.mp4,NEU,150
A,24,swan,skirt,image/swanUNREL_negSOA.mp4,UNREL,-150
A,16,rabbit,church,image/rabbitUNREL_posSOA.mp4,UNREL,150
A,10,tortoise,swan,image/tortoiseREL_posSOA.mp4,REL,150
A,59,arm,arm,image/armNEU_posSOA.mp4,NEU,150
A,33,desk,desk,image/deskID_negSOA.mp4,ID,-150
A,19,table,table,image/table_NEU.mp4,NEU,0
A,8,arm,train,image/armUNREL_negSOA.mp4,UNREL,-150
A,26,plane,car,image/plane_REL.mp4,REL,0
A,19,table,table,image/tableNEU_negSOA.mp4,NEU,-150
A,117,arm,nose,image/armREL_negSOA.mp4,REL,-150
A,24,swan,skirt,image/swan_UNREL.mp4,UNREL,0
A,3,sweater,sweater,image/sweaterNEU_posSOA.mp4,NEU,150
A,95,nose,nose,image/noseID_posSOA.mp4,ID,150
A,29,leg,ear,image/legREL_negSOA.mp4,REL,-150
A,11,leg,leg,image/legNEU_negSOA.mp4,NEU,-150
A,21,windmill,factory,image/windmillREL_posSOA.mp4,REL,150
A,24,swan,skirt,image/swanUNREL_posSOA.mp4,UNREL,150
A,23,plate,plate,image/plate_ID.mp4,ID,0
A,126,sword,sword,image/swordNEU_posSOA.mp4,NEU,150
A,119,car,car,image/carID_negSOA.mp4,ID,-150
A,117,arm,nose,image/arm_REL.mp4,REL,0
A,33,desk,desk,image/desk_ID.mp4,ID,0
A,79,train,train,image/trainID_posSOA.mp4,ID,150
A,81,pistol,pistol,image/pistolID_negSOA.mp4,ID,-150
A,30,desk,desk,image/deskNEU_negSOA.mp4,NEU,-150
A,84,church,rabbit,image/churchUNREL_negSOA.mp4,UNREL,-150
A,122,ear,leg,image/earREL_negSOA.mp4,REL,-150
A,89,sweater,sweater,image/sweaterID_posSOA.mp4,ID,150
A,88,castle,coat,image/castle_UNREL.mp4,UNREL,0
A,61,sweater,skirt,image/sweaterREL_posSOA.mp4,REL,150
A,34,train,bike,image/trainREL_negSOA.mp4,REL,-150
A,9,cannon,cannon,image/cannonID_negSOA.mp4,ID,-150
A,59,arm,arm,image/arm_NEU.mp4,NEU,0
A,21,windmill,factory,image/windmill_REL.mp4,REL,0
A,113,rabbit,rabbit,image/rabbitID_posSOA.mp4,ID,150
A,23,plate,plate,image/plateID_negSOA.mp4,ID,-150
A,89,sweater,sweater,image/sweaterID_negSOA.mp4,ID,-150
A,94,coat,coat,image/coat_NEU.mp4,NEU,0
A,96,cup,tortoise,image/cup_UNREL.mp4,UNREL,0
A,4,plate,cannon,image/plateUNREL_negSOA.mp4,UNREL,-150
A,13,skirt,sweater,image/skirt_REL.mp4,REL,0
A,69,rabbit,deer,image/rabbit_REL.mp4,REL,0
A,49,swan,swan,image/swanID_negSOA.mp4,ID,-150
A,104,cannon,plate,image/cannonUNREL_posSOA.mp4,UNREL,150
A,50,bike,train,image/bikeREL_negSOA.mp4,REL,-150
A,17,bike,bike,image/bikeID_negSOA.mp4,ID,-150
A,25,bed,bed,image/bedID_posSOA.mp4,ID,150
A,5,castle,church,image/castleREL_posSOA.mp4,REL,150
A,71,jug,jug,image/jugID_posSOA.mp4,ID,150
A,45,wardrobe,table,image/wardrobe_REL.mp4,REL,0
A,90,deer,rabbit,image/deerREL_negSOA.mp4,REL,-150
A,60,sword,table,image/sword_UNREL.mp4,UNREL,0
A,78,nose,nose,image/noseNEU_posSOA.mp4,NEU,150
