group,item,target,distractor,image,condition,SOA
A,119,car,car,carID_posSOA.gif,ID,150
A,68,jug,windmill,jugUNREL_negSOA.gif,UNREL,-150
A,91,cannon,cannon,cannonNEU_negSOA.gif,NEU,-150
A,72,bike,wardrobe,bikeUNREL_posSOA.gif,UNREL,150
A,28,plane,glass,planeUNREL_posSOA.gif,UNREL,150
A,22,jug,jug,jug_NEU.png,NEU,0
A,128,bed,pistol,bedUNREL_negSOA.gif,UNREL,-150
A,12,deer,desk,deer_UNREL.png,UNREL,0
A,28,plane,glass,plane_UNREL.png,UNREL,0
A,35,cup,cup,cupNEU_posSOA.gif,NEU,150
A,55,ear,ear,ear_ID.png,ID,0
A,48,vest,ear,vestUNREL_negSOA.gif,UNREL,-150
A,44,tortoise,cup,tortoiseUNREL_negSOA.gif,UNREL,-150
A,62,plate,plate,plateNEU_negSOA.gif,NEU,-150
A,18,bed,desk,bed_REL.png,REL,0
A,106,jug,cup,jugREL_negSOA.gif,REL,-150
A,80,windmill,jug,windmillUNREL_negSOA.gif,UNREL,-150
A,27,vest,vest,vestNEU_posSOA.gif,NEU,150
A,17,bike,bike,bike_ID.png,ID,0
A,65,castle,castle,castle_ID.png,ID,0
A,99,rabbit,rabbit,rabbit_NEU.png,NEU,0
A,90,deer,rabbit,deerREL_posSOA.gif,REL,150
A,67,glass,glass,glass_NEU.png,NEU,0
A,128,bed,pistol,bedUNREL_posSOA.gif,UNREL,150
A,70,wardrobe,wardrobe,wardrobe_NEU.png,NEU,0
A,97,vest,vest,vestID_posSOA.gif,ID,150
A,85,glass,plate,glassREL_negSOA.gif,REL,-150
A,86,tortoise,tortoise,tortoiseNEU_posSOA.gif,NEU,150
A,8,arm,train,arm_UNREL.png,UNREL,0
A,109,cup,jug,cupREL_posSOA.gif,REL,150
A,118,deer,deer,deerNEU_posSOA.gif,NEU,150
A,96,cup,tortoise,cupUNREL_negSOA.gif,UNREL,-150
A,99,rabbit,rabbit,rabbitNEU_negSOA.gif,NEU,-150
A,49,swan,swan,swanID_posSOA.gif,ID,150
A,57,leg,leg,leg_ID.png,ID,0
A,92,factory,nose,factoryUNREL_posSOA.gif,UNREL,150
A,107,skirt,skirt,skirtNEU_posSOA.gif,NEU,150
A,98,plate,glass,plate_REL.png,REL,0
A,32,dagger,sweater,daggerUNREL_posSOA.gif,UNREL,150
A,91,cannon,cannon,cannon_NEU.png,NEU,0
A,77,vest,coat,vestREL_posSOA.gif,REL,150
A,31,arm,arm,armID_posSOA.gif,ID,150
A,67,glass,glass,glassNEU_posSOA.gif,NEU,150
A,24,swan,skirt,swanUNREL_negSOA.gif,UNREL,-150
A,16,rabbit,church,rabbitUNREL_posSOA.gif,UNREL,150
A,10,tortoise,swan,tortoiseREL_posSOA.gif,REL,150
A,59,arm,arm,armNEU_posSOA.gif,NEU,150
A,33,desk,desk,deskID_negSOA.gif,ID,-150
A,19,table,table,table_NEU.png,NEU,0
A,8,arm,train,armUNREL_negSOA.gif,UNREL,-150
A,26,plane,car,plane_REL.png,REL,0
A,19,table,table,tableNEU_negSOA.gif,NEU,-150
A,117,arm,nose,armREL_negSOA.gif,REL,-150
A,24,swan,skirt,swan_UNREL.png,UNREL,0
A,3,sweater,sweater,sweaterNEU_posSOA.gif,NEU,150
A,95,nose,nose,noseID_posSOA.gif,ID,150
A,29,leg,ear,legREL_negSOA.gif,REL,-150
A,11,leg,leg,legNEU_negSOA.gif,NEU,-150
A,21,windmill,factory,windmillREL_posSOA.gif,REL,150
A,24,swan,skirt,swanUNREL_posSOA.gif,UNREL,150
A,23,plate,plate,plate_ID.png,ID,0
A,126,sword,sword,swordNEU_posSOA.gif,NEU,150
A,119,car,car,carID_negSOA.gif,ID,-150
A,117,arm,nose,arm_REL.png,REL,0
A,33,desk,desk,desk_ID.png,ID,0
A,79,train,train,trainID_posSOA.gif,ID,150
