group,item,target,distractor,image,image_2,condition,SOA
A,1,tortoise,tortoise,image/tortoiseID_posSOA.png,image/tortoiseID_posSOA2.png,ID,150
A,2,dagger,dagger,image/dagger_NEU.png,image/dagger_NEU2.png,NEU,0
A,3,leg,leg,image/legID_negSOA.png,image/legID_negSOA2.png,ID,-150
A,4,sword,dagger,image/sword_REL.png,image/sword_REL2.png,REL,0
A,5,nose,nose,image/nose_ID.png,image/nose_ID2.png,ID,0
A,6,castle,castle,image/castleNEU_posSOA.png,image/castleNEU_posSOA2.png,NEU,150
A,7,nose,arm,image/noseREL_negSOA.png,image/noseREL_negSOA2.png,REL,-150
A,8,deer,deer,image/deer_ID.png,image/deer_ID2.png,ID,0
A,9,plane,car,image/planeREL_posSOA.png,image/planeREL_posSOA2.png,REL,150
A,10,sword,sword,image/swordNEU_negSOA.png,image/swordNEU_negSOA2.png,NEU,-150
A,11,train,arm,image/trainUNREL_negSOA.png,image/trainUNREL_negSOA2.png,UNREL,-150
A,12,skirt,swan,image/skirtUNREL_posSOA.png,image/skirtUNREL_posSOA2.png,UNREL,150
A,13,rabbit,church,image/rabbit_UNREL.png,image/rabbit_UNREL2.png,UNREL,0
A,14,windmill,factory,image/windmillREL_negSOA.png,image/windmillREL_negSOA2.png,REL,-150
A,15,table,wardrobe,image/tableREL_posSOA.png,image/tableREL_posSOA2.png,REL,150
A,16,windmill,windmill,image/windmillNEU_negSOA.png,image/windmillNEU_negSOA2.png,NEU,-150
A,17,plate,cannon,image/plateUNREL_posSOA.png,image/plateUNREL_posSOA2.png,UNREL,150
A,18,glass,glass,image/glassID_negSOA.png,image/glassID_negSOA2.png,ID,-150
A,19,castle,coat,image/castleUNREL_negSOA.png,image/castleUNREL_negSOA2.png,UNREL,-150
A,20,leg,leg,image/legID_posSOA.png,image/legID_posSOA2.png,ID,150
A,21,church,church,image/churchNEU_negSOA.png,image/churchNEU_negSOA2.png,NEU,-150
A,22,leg,car,image/legUNREL_posSOA.png,image/legUNREL_posSOA2.png,UNREL,150
A,23,nose,arm,image/noseREL_posSOA.png,image/noseREL_posSOA2.png,REL,150
A,24,arm,arm,image/armNEU_negSOA.png,image/armNEU_negSOA2.png,NEU,-150
A,25,tortoise,cup,image/tortoiseUNREL_posSOA.png,image/tortoiseUNREL_posSOA2.png,UNREL,150
A,26,swan,tortoise,image/swan_REL.png,image/swan_REL2.png,REL,0
A,27,coat,castle,image/coatUNREL_posSOA.png,image/coatUNREL_posSOA2.png,UNREL,150
A,28,windmill,windmill,image/windmillID_negSOA.png,image/windmillID_negSOA2.png,ID,-150
A,29,table,table,image/tableID_posSOA.png,image/tableID_posSOA2.png,ID,150
A,30,arm,nose,image/armREL_posSOA.png,image/armREL_posSOA2.png,REL,150
