item,name,image
1,ARM,naming/arm.png
2,BED,naming/bed.png
3,BIKE,naming/bike.png
4,CANNON,naming/cannon.png
5,CAR,naming/car.png
6,CASTLE,naming/castle.png
7,CHURCH,naming/church.png
8,COAT,naming/coat.png
9,CUP,naming/cup.png
10,DAGGER,naming/dagger.png
11,DEER,naming/deer.png
12,DESK,naming/desk.png
13,EAR,naming/ear.png
14,FACTORY,naming/factory.png
15,GLASS,naming/glass.png
16,JUG,naming/jug.png
17,LEG,naming/leg.png
18,NOSE,naming/nose.png
19,PISTOL,naming/pistol.png
20,PLANE,naming/plane.png
21,PLATE,naming/plate.png
22,RABBIT,naming/rabbit.png
23,SKIRT,naming/skirt.png
24,SWAN,naming/swan.png
25,SWEATER,naming/sweater.png
26,SWORD,naming/sword.png
27,TABLE,naming/table.png
28,TORTOISE,naming/tortoise.png
29,TRAIN,naming/train.png
30,VEST,naming/vest.png
31,WARDROBE,naming/wardrobe.png
32,WINDMILL,naming/windmill.png
